amenities,descripcion,nombre,score
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Highchairs available,Airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Kids' meals,Wine / champagne,Taxi service,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Cable / satellite TV,Bath / shower,Soundproof rooms,Room service,Telephone,Bottled water,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms","A landmark seven story hotel situated in the heart of the Guayaquil city center, Hotel Palace Guayaquil is considered to be one of the most traditional Hotels in town. Its ideal location downtown is within easy walking distance to the city’s main attractions, financial and shopping areas. The hotel offers 95 spacious, comfortable and charming rooms, all fully carpeted with high ceilings, individually controlled air conditioning, soudproof windows, black out draperies and bottled water. We offer complimentary parking for our guests.",Hotel Palace Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Restaurant,Kids stay free,Airport transportation,Photo copier / fax In business center,Makeup services,24-hour security,Valet parking,Wifi,Manicure,Pedicure,Salon,Baggage storage,Concierge,Non-smoking hotel,24-hour check-in,24-hour front desk,Laundry service,Ironing service,Air conditioning,Room service,Clothes rack,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Non-smoking rooms,Suites,Family rooms","WHAT YOU WERE LOOKING FOR ! We are located in front of the Jose Joaquin de Olmedo airport in the city of Guayaquil , behind Esmeraldas Transport",Hostal Posada Del Sol,3.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,4.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,4.0
"Free parking,Hot tub,Coffee shop,Walking tours,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Parking garage,Infinity pool,Pool / beach towels,Pool with view,Outdoor pool,Heated pool,Shallow end in pool,Fence around pool,Swimup bar,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Snack bar,Wine / champagne,Poolside bar,Rooftop bar,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Convenience store,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Laundry service,Washing machine,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Extra long beds,Walk-in shower,Housekeeping,Interconnected rooms available,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Sofa bed,Complimentary toiletries,Hair dryer,Mountain view,City view,Landmark view,Non-smoking rooms,Suites,Family rooms","Located in Guayaquil, in front of Malecon 2000, River Garden Hotel + Suites provides accommodation with a restaurant, free private parking, a fitness centre and a bar. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, a concierge service and organising tours for guests. At the hotel, each room is equipped with a wardrobe. At River Garden Hotel + Suites each room comes with a desk and a private bathroom. Guests at the accommodation can enjoy a continental or a buffet breakfast. River Garden Hotel + Suites offers a hot tub. Popular points of interest near the hotel include Saint Francis Church, Artisan Market Guayaquil and Botanical Garden. The nearest airport is José Joaquín de Olmedo International, 4 km from River Garden Hotel + Suites. The hotel offers in-out airport transportation as long as you request in advance.",River Garden Hotel & Suites,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Steam room,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","If you’re looking for a family-friendly hotel in Guayaquil, look no further than Sheraton Guayaquil Hotel.,For those interested in checking out popular landmarks while visiting Guayaquil, Sheraton Guayaquil is located a short distance from El Castillo Chocolate Farm (1.9 mi) and El Faro de Guayaquil (2.0 mi).,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and newspaper while staying at Guayaquil Four Points. In addition, Guayaquil Sheraton offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,While in Guayaquil be sure to experience nearby diners such as Ville Crepes, Rock Sport Café, or Pollos De Boncho.,Guayaquil is also home to Museo en Miniatura Guayaquil en la Historia, a popular military museum that is not too far from Four Points Guayaquil.,The staff at Sheraton Guayaquil Hotel looks forward to serving you during your upcoming visit.",Sheraton Guayaquil Hotel,4.5
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Airport transportation,Business Center with Internet Access,Parking,Fitness / spa locker rooms,Restaurant,Breakfast available,Breakfast in the room,Kids' meals,Wine / champagne,Highchairs available,Taxi service,Conference facilities,Banquet room,Meeting rooms,Solarium,Steam room,24-hour security,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Minibar,Cable / satellite TV,Bath / shower,Room service,Safe,Seating area,Separate dining area,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,Radio,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms","The hotel is located only 3 minutes from the Jose Joaquin de Olmedo Airport and a few steps from Mall del Sol Shopping Center, the biggest mall in the city. This hotel has modern accommodations in the main commercial and financial area of Guayaquil. It features a health club, free WIFI and free parking for all guests. Rooms at Wyndham Garden Guayaquil are nicely decorated and furnished with comfortable beds and feathered pillows. They come equipped with air conditioning, flat screen TV, coffee machine and a work desk. Room service is available 24/7. Wellness facilities include a sauna, jacuzzi and a gym. Our restaurant offers a healthy breakfast everyday, and sit-down lunch and dinner. National and international dishes can be ordered for dinner, accompanied with a selection of delicious wines.",Wyndham Garden Guayaquil,4.5
"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Squash,Billiards,Kids stay free,Paid private parking nearby,Wifi,Adult pool,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Complimentary welcome drink,Kids' meals,Wine / champagne,Patio,Table tennis,Board games / puzzles,Video game console,Children's television networks,Kids pool,Highchairs available,Free airport transportation,Airport transportation,Taxi service,Conference facilities,Banquet room,Meeting rooms,Solarium,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Non-smoking hotel,Sun deck,Sun terrace,Doorperson,First aid kit,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Soundproof rooms,Air conditioning,Desk,Housekeeping,Refrigerator,Cable / satellite TV,Walk-in shower,Interconnected rooms available,Room service,Safe,Separate living room,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Radio,Bath / shower,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms","Experience the local flavor of the tropical gateway to lush Pacific beaches and the beautiful volcanic Galápagos Islands when you stay at the one-of-a-kind Grand Hotel Guayaquil, an Ascend Hotel Collection® Member.","Grand Hotel Guayaquil, Ascend Hotel Collection",4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Paid private parking on-site,Parking garage,Wifi,Pool / beach towels,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Kid-friendly buffet,Kids' meals,Snack bar,Special diet menus,Poolside bar,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Gift shop,Newspaper,Non-smoking hotel,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Iron,Refrigerator,Non-smoking rooms,Suites",Up scale full service property opened in July 2013 to cater corporate and leisure travelers lodging needs. Our service staff will extreme their efforts to always better serve you the Ecuadorian way.,Holiday Inn Guayaquil Airport,4.5
"Free parking,Free internet,Pool,Yoga classes,Coffee shop,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Pool / beach towels,Infinity pool,Adult pool,Yoga room,Poolside bar,Breakfast available,Breakfast in the room,Wine / champagne,Conference facilities,Meeting rooms,24-hour security,Concierge,Sun umbrellas,24-hour front desk,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Housekeeping,Room service,Telephone,Cable / satellite TV,Walk-in shower,Wardrobe / closet,Clothes rack,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Hair dryer,City view,Bridal suite,Suites","With its modern, and contemporary design, Hotel Puerto Pacifico offers the perfect base for a cool and comfortable visit in Guayaquil. Located next the José Joaquín de Olmedo Airport, and in the heart of the Guayaquil´s entertainment hub, this charming 48 room hotel gives you, the suitable spot for your way of friends, business, holiday or digital nomad visit. Welcome to our community.",Hotel Puerto Pacifico Guayaquil Airport,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Valet parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa locker rooms,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Kids pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,Infirmary,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Separate living room,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Whirlpool bathtub,Complimentary toiletries,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Elegance, comfort, security and personalized service are just some of the characteristics that make Hilton Colon Guayaquil, a real five-star city resort hotel. The splendid building is located only five minutes away from Jose Joaquin de Olmedo International Airport and dominates the city's new booming commercial and financial zone in Ecuador. Our hotel is surrounded by the main shopping centers and offers easy access to the downtown district area.,Hilton Colon Guayaquil Hotel Features: 294 fully renovated rooms, Five restaurants and two bars, Room service available 24-hours, Business center, Refurbished meeting rooms, congress, and convention facilities with capacity up to 1800 people, Renovated outdoor pool and fitness area with a health spa.,Travel should take you places.",Hilton Colon Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Spa,Hammam,Massage,24-hour security,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,Sun terrace,Doorperson,First aid kit,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Dining area,Housekeeping,Interconnected rooms available,Refrigerator,Flatscreen TV,Walk-in shower,Room service,Safe,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,City view,Non-smoking rooms,Suites,Family rooms","Surrounded by dining and shopping in the heart of the business district, TRYP by Wyndham Guayaquil offers a free shuttle to Jose Joaquin de Olmedo Guayaquil Airport (GYE), just two miles away. Whether you’re visiting for work or leisure, you’ll appreciate free WiFi and parking, in addition to a pool, fitness center, and on-site dining at OLMEDO Gastro Bar. We’re connected to the biggest mall of the city and close to Guayaquil Convention Center which is less than a mile away. This non-smoking hotel is also close to the riverside Malecón 2000 where you’ll find the historic Torre Morisca clock tower. As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, mini-fridge, and getting online is easy, with free wifi available. Guests have access to a 24 hour front desk, room service, and a concierge while staying at Safe Stay Certified hotel. At TRYP by Wyndham Guayaquil, your comfort and satisfaction come first, and they look forward to welcoming you to this great city.",TRYP by Wyndham Guayaquil,4.5
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children Activities (Kid / Family Friendly),Free shuttle or taxi services,Wifi,Rooftop pool,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Courtyard by Marriott Guayaquil,4.0
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children Activities (Kid / Family Friendly),Free shuttle or taxi services,Wifi,Rooftop pool,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Courtyard by Marriott Guayaquil,4.0
"Free parking,Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Spa,Hammam,Massage,24-hour security,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,Sun terrace,Doorperson,First aid kit,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Dining area,Housekeeping,Interconnected rooms available,Refrigerator,Flatscreen TV,Walk-in shower,Room service,Safe,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,City view,Non-smoking rooms,Suites,Family rooms","Surrounded by dining and shopping in the heart of the business district, TRYP by Wyndham Guayaquil offers a free shuttle to Jose Joaquin de Olmedo Guayaquil Airport (GYE), just two miles away. Whether you’re visiting for work or leisure, you’ll appreciate free WiFi and parking, in addition to a pool, fitness center, and on-site dining at OLMEDO Gastro Bar. We’re connected to the biggest mall of the city and close to Guayaquil Convention Center which is less than a mile away. This non-smoking hotel is also close to the riverside Malecón 2000 where you’ll find the historic Torre Morisca clock tower. As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, mini-fridge, and getting online is easy, with free wifi available. Guests have access to a 24 hour front desk, room service, and a concierge while staying at Safe Stay Certified hotel. At TRYP by Wyndham Guayaquil, your comfort and satisfaction come first, and they look forward to welcoming you to this great city.",TRYP by Wyndham Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Valet parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa locker rooms,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Kids pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,24-hour security,Baggage storage,Concierge,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,Infirmary,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Separate living room,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Whirlpool bathtub,Complimentary toiletries,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Elegance, comfort, security and personalized service are just some of the characteristics that make Hilton Colon Guayaquil, a real five-star city resort hotel. The splendid building is located only five minutes away from Jose Joaquin de Olmedo International Airport and dominates the city's new booming commercial and financial zone in Ecuador. Our hotel is surrounded by the main shopping centers and offers easy access to the downtown district area.,Hilton Colon Guayaquil Hotel Features: 294 fully renovated rooms, Five restaurants and two bars, Room service available 24-hours, Business center, Refurbished meeting rooms, congress, and convention facilities with capacity up to 1800 people, Renovated outdoor pool and fitness area with a health spa.,Travel should take you places.",Hilton Colon Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Walking tours,Kids stay free,Children's playground,Airport transportation,Parking,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast in the room,Complimentary tea,Complimentary welcome drink,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Children's television networks,Kids' outdoor play equipment,Highchairs available,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Hand massage,Head massage,Massage,Neck massage,24-hour security,Baggage storage,Chapel / shrine,Concierge,Non-smoking hotel,Outdoor furniture,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Laundry service,Ironing service,Shoeshine,Allergy-free room,Soundproof rooms,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Bath / shower,Bathrobes,Interconnected rooms available,Room service,Safe,Telephone,VIP room facilities,Bottled water,Iron,Private bathrooms,Minibar,Flatscreen TV,Complimentary toiletries,Hair dryer,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Hotel del Parque,5.0
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Highchairs available,Airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Kids' meals,Wine / champagne,Taxi service,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Cable / satellite TV,Bath / shower,Soundproof rooms,Room service,Telephone,Bottled water,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms","A landmark seven story hotel situated in the heart of the Guayaquil city center, Hotel Palace Guayaquil is considered to be one of the most traditional Hotels in town. Its ideal location downtown is within easy walking distance to the city’s main attractions, financial and shopping areas. The hotel offers 95 spacious, comfortable and charming rooms, all fully carpeted with high ceilings, individually controlled air conditioning, soudproof windows, black out draperies and bottled water. We offer complimentary parking for our guests.",Hotel Palace Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Highchairs available,Airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary welcome drink,Kids' meals,Wine / champagne,Taxi service,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Umbrella,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Cable / satellite TV,Bath / shower,Soundproof rooms,Room service,Telephone,Bottled water,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms","A landmark seven story hotel situated in the heart of the Guayaquil city center, Hotel Palace Guayaquil is considered to be one of the most traditional Hotels in town. Its ideal location downtown is within easy walking distance to the city’s main attractions, financial and shopping areas. The hotel offers 95 spacious, comfortable and charming rooms, all fully carpeted with high ceilings, individually controlled air conditioning, soudproof windows, black out draperies and bottled water. We offer complimentary parking for our guests.",Hotel Palace Guayaquil,4.5
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,4.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms","Located in Guayaquil city centre on the west bank of the River Guayas, this hostel offers free Wi-Fi access throughout the property and a restaurant, serving freshly-prepared local and international dishes. Guests can relax on the balcony, offered with some rooms, and take in the view of the city. Private bathrooms are offered in some rooms of Manso Boutique Hostal while others have access to shared facilities. Simon Bolivar Airport is just 5 km away.",Manso Boutique Guesthouse,4.0
"Free parking,Hot tub,Coffee shop,Walking tours,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Parking garage,Infinity pool,Pool / beach towels,Pool with view,Outdoor pool,Heated pool,Shallow end in pool,Fence around pool,Swimup bar,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Snack bar,Wine / champagne,Poolside bar,Rooftop bar,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Convenience store,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Laundry service,Washing machine,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Extra long beds,Walk-in shower,Housekeeping,Interconnected rooms available,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Sofa bed,Complimentary toiletries,Hair dryer,Mountain view,City view,Landmark view,Non-smoking rooms,Suites,Family rooms","Located in Guayaquil, in front of Malecon 2000, River Garden Hotel + Suites provides accommodation with a restaurant, free private parking, a fitness centre and a bar. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, a concierge service and organising tours for guests. At the hotel, each room is equipped with a wardrobe. At River Garden Hotel + Suites each room comes with a desk and a private bathroom. Guests at the accommodation can enjoy a continental or a buffet breakfast. River Garden Hotel + Suites offers a hot tub. Popular points of interest near the hotel include Saint Francis Church, Artisan Market Guayaquil and Botanical Garden. The nearest airport is José Joaquín de Olmedo International, 4 km from River Garden Hotel + Suites. The hotel offers in-out airport transportation as long as you request in advance.",River Garden Hotel & Suites,4.5
